"filename","url","tags","assetType","format","moderationStatus","publicId","assetId","displayName","deliveryType","createdAt"
"ELVIE-015-7","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323445/birefnet-general-lite/gap/ELVIE-015-7.jpg","","image","jpg","","birefnet-general-lite/gap/ELVIE-015-7","5cb73638e17fae16017ceeb16c97b852","ELVIE-015-7","upload","2026-03-24T03:37:25Z"
"FERNANDO-232-2","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323424/birefnet-general-lite/gap/FERNANDO-232-2.jpg","","image","jpg","","birefnet-general-lite/gap/FERNANDO-232-2","5775f5a4b77c840c0920feea33efea7d","FERNANDO-232-2","upload","2026-03-24T03:37:04Z"
"MARTA-625-2","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323400/birefnet-general-lite/gap/MARTA-625-2.jpg","","image","jpg","","birefnet-general-lite/gap/MARTA-625-2","78d7f0cfbf562cf2ef1f474df64fb09b","MARTA-625-2","upload","2026-03-24T03:36:40Z"
"MIRAGE-604-3","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323493/birefnet-general-lite/gap/MIRAGE-604-3.jpg","","image","jpg","","birefnet-general-lite/gap/MIRAGE-604-3","35b5275a85c5583ae8e8c5d16c12150d","MIRAGE-604-3","upload","2026-03-24T03:38:13Z"
"PERCY-903-7","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323492/birefnet-general-lite/gap/PERCY-903-7.jpg","","image","jpg","","birefnet-general-lite/gap/PERCY-903-7","9278a8f75672515939c82b73b8ead218","PERCY-903-7","upload","2026-03-24T03:38:12Z"
"MARGO-123-3","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323489/birefnet-general-lite/gap/MARGO-123-3.jpg","","image","jpg","","birefnet-general-lite/gap/MARGO-123-3","1a2687fac5a255dbaef8c110c0bb790f","MARGO-123-3","upload","2026-03-24T03:38:09Z"
"PERCY-903-4","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323486/birefnet-general-lite/gap/PERCY-903-4.jpg","","image","jpg","","birefnet-general-lite/gap/PERCY-903-4","136ee03bd1c0c856e86051d58da8d404","PERCY-903-4","upload","2026-03-24T03:38:06Z"
"PORTER-232-4","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323476/birefnet-general-lite/gap/PORTER-232-4.jpg","","image","jpg","","birefnet-general-lite/gap/PORTER-232-4","9dbdce07234f1e73215eb79230f80961","PORTER-232-4","upload","2026-03-24T03:37:56Z"
"PORTER-234-1","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323471/birefnet-general-lite/gap/PORTER-234-1.jpg","","image","jpg","","birefnet-general-lite/gap/PORTER-234-1","31cc8b6ab464dd3a1bc0843230b72735","PORTER-234-1","upload","2026-03-24T03:37:51Z"
"HANNAH-929-1","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323454/birefnet-general-lite/gap/HANNAH-929-1.jpg","","image","jpg","","birefnet-general-lite/gap/HANNAH-929-1","798ad994ad291d72eb9009c18b558b12","HANNAH-929-1","upload","2026-03-24T03:37:34Z"
"ELVIE-015-6","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323447/birefnet-general-lite/gap/ELVIE-015-6.jpg","","image","jpg","","birefnet-general-lite/gap/ELVIE-015-6","4eba34adf16a5649772f12223840ff59","ELVIE-015-6","upload","2026-03-24T03:37:27Z"
"MIRAGE-902-13","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323419/birefnet-general-lite/gap/MIRAGE-902-13.jpg","","image","jpg","","birefnet-general-lite/gap/MIRAGE-902-13","88c7099876fa3cfb5547c45985be1100","MIRAGE-902-13","upload","2026-03-24T03:36:59Z"
"ARDEN-015-5","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323415/birefnet-general-lite/gap/ARDEN-015-5.jpg","","image","jpg","","birefnet-general-lite/gap/ARDEN-015-5","00481db60ae2a2ba05e8575909017c0e","ARDEN-015-5","upload","2026-03-24T03:36:55Z"
"ARLO-902-6","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323403/birefnet-general-lite/gap/ARLO-902-6.jpg","","image","jpg","","birefnet-general-lite/gap/ARLO-902-6","97ce865bf4c75dcee7fe4f9d24a12a2f","ARLO-902-6","upload","2026-03-24T03:36:43Z"
"MARTA-159-5","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323496/birefnet-general-lite/gap/MARTA-159-5.jpg","","image","jpg","","birefnet-general-lite/gap/MARTA-159-5","c7a969316ae777ded39e2390fde67a50","MARTA-159-5","upload","2026-03-24T03:38:16Z"
"HANNAH-712-3","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323494/birefnet-general-lite/gap/HANNAH-712-3.jpg","","image","jpg","","birefnet-general-lite/gap/HANNAH-712-3","6dacaa3c7b1fcd33bdedf8c87156b479","HANNAH-712-3","upload","2026-03-24T03:38:14Z"
"MALLORCA-234-2","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323493/birefnet-general-lite/gap/MALLORCA-234-2.jpg","","image","jpg","","birefnet-general-lite/gap/MALLORCA-234-2","b385392338b4e14606dc795634cdd7ae","MALLORCA-234-2","upload","2026-03-24T03:38:13Z"
"PORTER-015-4","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323487/birefnet-general-lite/gap/PORTER-015-4.jpg","","image","jpg","","birefnet-general-lite/gap/PORTER-015-4","83ffaa3742c16058d34d30202362b990","PORTER-015-4","upload","2026-03-24T03:38:07Z"
"ARDEN-518-2","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323486/birefnet-general-lite/gap/ARDEN-518-2.jpg","","image","jpg","","birefnet-general-lite/gap/ARDEN-518-2","23f5fb85add4cea50bde5e6292362379","ARDEN-518-2","upload","2026-03-24T03:38:06Z"
"SUNNIE-234-2","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323475/birefnet-general-lite/gap/SUNNIE-234-2.jpg","","image","jpg","","birefnet-general-lite/gap/SUNNIE-234-2","d2457829f88de8e7aef341c30dbdb000","SUNNIE-234-2","upload","2026-03-24T03:37:55Z"
"ARDEN-015-2","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323469/birefnet-general-lite/gap/ARDEN-015-2.jpg","","image","jpg","","birefnet-general-lite/gap/ARDEN-015-2","ca2aabcd174f0a2dfc1ddcef140db578","ARDEN-015-2","upload","2026-03-24T03:37:49Z"
"FIORA-232-1","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323447/birefnet-general-lite/gap/FIORA-232-1.jpg","","image","jpg","","birefnet-general-lite/gap/FIORA-232-1","58ff126ad902342516029a66aff323ed","FIORA-232-1","upload","2026-03-24T03:37:27Z"
"MARTA-625-4","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323441/birefnet-general-lite/gap/MARTA-625-4.jpg","","image","jpg","","birefnet-general-lite/gap/MARTA-625-4","cb8a3160211eb7384adbb84eb05227ed","MARTA-625-4","upload","2026-03-24T03:37:21Z"
"MIRAGE-902-12","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323438/birefnet-general-lite/gap/MIRAGE-902-12.jpg","","image","jpg","","birefnet-general-lite/gap/MIRAGE-902-12","6b9464f012a1715c6b740cde0de47adc","MIRAGE-902-12","upload","2026-03-24T03:37:18Z"
"MARGO-203-3","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323430/birefnet-general-lite/gap/MARGO-203-3.jpg","","image","jpg","","birefnet-general-lite/gap/MARGO-203-3","52c5076bfae5624f73f5e54546f1146a","MARGO-203-3","upload","2026-03-24T03:37:10Z"
"ARLO-902-4","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323428/birefnet-general-lite/gap/ARLO-902-4.jpg","","image","jpg","","birefnet-general-lite/gap/ARLO-902-4","f22f7b96ea581358ecd2062583727235","ARLO-902-4","upload","2026-03-24T03:37:08Z"
"ELVIE-015-1","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323403/birefnet-general-lite/gap/ELVIE-015-1.jpg","","image","jpg","","birefnet-general-lite/gap/ELVIE-015-1","47984092ef268188f25766e3610b9114","ELVIE-015-1","upload","2026-03-24T03:36:43Z"
